name,act_name,symbol,qty,cex,status,up_status,path,level,earn,cost,buy_px,benefit,sell_px,profit,order_id,client_order_id,fx_order_id,fx_client_order_id,signature,chain,open_at,close_at,mint,dex_act,dex_status,dex_fail_count
gateSolPOPCAT,gate,POPCAT_USDT,89.69,gate,closed,0,cex->dex,1,-0.03,29.014715,0.3235,29.951989,0.334,0.94,827102862033,t-TO3rr3zdrTYtvETv2s5gkSTbr_So,,,3vrhQKBRGJ47FmqgqJjfdiw6nDNJzZUx9WgLyHrZDFga31mRKoDzG8SWQuWV1G6KyNowVFfBajn49oBah3JxDg5w,sol,1745503694439,1745508061080,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,HrkfCQP1jbHnqLoWKj4HnDDimwfWA8fRYMTrnaks5ANt,success,0
gatePOPCAT,gate,POPCAT_USDT,90.17,gate,closed,0,buy->sell,1,0.6,29.386403,0.3259,29.990542,0.3326,0.6,827103982841,t-bOO7wfbYWiZdwlauU6yutCRlyVSt,827122926945,t-O4bLc6vduNTcMOcLrmS3CwZlZWW3,,,1745506944481,1745518180837,,,,0
gateTURBO,gate,TURBO_USDT,7072.1,gate,closed,0,sell->buy,1,0.6,30.0210645,0.004245,30.622193,0.00433,0.6,827112299739,t-OaXHKVn0y5UKF8IZ6vB5r3ondgfh,827117052959,t-yNUTwmCbx59iQXBovnx7jKFJbzzO,,,1745505873029,1745506864500,,,,0
gateTURBO,gate,TURBO_USDT,7097.2,gate,closed,0,buy->sell,1,0.6,29.382408,0.00414,29.98567,0.004225,0.6,827161540500,t-ODTvkLG3qym5OXIEjte2mC9B0BoQ,827178048653,t-Ceh7GDuVef4BNpSkKTJtRnPxf1nc,,,1745514590618,1745519084981,,,,0
gateTURBO,gate,TURBO_USDT,7251.6,gate,closed,0,sell->buy,1,0.6,30.0071208,0.004138,30.6090036,0.004221,0.6,827193597088,t-Cxy_pP5L4TKUybb_C6JTxD2eviw4,827205302779,t-u03S9CepEfL6vpnvUoBHJOUA_Dad,,,1745519079611,1745521440322,,,,0
gateTURBO,gate,TURBO_USDT,7029.9,gate,closed,0,buy->sell,1,0.6,29.384982,0.00418,29.9825235,0.004265,0.6,827244298927,t-9HEGYEjXf_OSCVcDhxX3NNZx5LKE,827261950975,t-UCmf52WD1GUhHkT3MV4OKjFyp0QB,,,1745528491682,1745530345345,,,,0
gateTURBO,gate,TURBO_USDT,7165.9,gate,closed,0,buy->sell,1,0.6,29.38019,0.0041,29.9821256,0.004184,0.6,827262012788,t-zW5V3jfigiUfBz6pmDPLYNLWv4wF,827271978145,t-eARxyYUT9kfvVeKnsOFBpqXLBO0L,,,1745530018521,1745530345343,,,,0
gatePOPCAT,gate,POPCAT_USDT,88.05,gate,closed,0,sell->buy,1,0.6,30.00744,0.3408,30.60618,0.3476,0.6,827262733836,t-PanDTyQwWLohhFYWOaXTU7x6apki,827290054772,t-e34UDqfHrt3JCw_C9cPIY9nSEGHC,,,1745532231829,1745533315393,,,,0
gateTURBO,gate,TURBO_USDT,7218.5,gate,closed,0,sell->buy,1,0.6,30.0217415,0.004159,30.620877,0.004242,0.6,827275358672,t-JwH1yM7iu4BxhhjU2AvNMV6V8xct,827280441058,t-Rpv0wf5YwTbtC6biEV3dQIRErw5F,,,1745530999028,1745533278463,,,,0
gateTURBO,gate,TURBO_USDT,7117.4,gate,closed,0,sell->buy,1,0.6,30.0211932,0.004218,30.6190548,0.004302,0.6,827280488048,t-lw6A0abQRxVu15wpfINaZCS9iYF5,827312000345,t-PXWbYIxd8PLDJ98xWSk9UKRLBQUU,,,1745534551109,1745564467458,,,,0
gatePOPCAT,gate,POPCAT_USDT,84.5,gate,closed,0,sell->buy,1,0.6,30.0313,0.3554,30.63125,0.3625,0.6,827311985628,t-SC1KTQTBWVdtqOpQj55SEf9Fa4SA,827324044008,t-XJGRtFIpQ8QkoWCj7cwjIAlXtCzh,,,1745536019356,1745540585445,,,,0
gateTURBO,gate,TURBO_USDT,6967.8,gate,closed,0,sell->buy,1,0.6,30.0172824,0.004308,30.6165132,0.004394,0.6,827312069349,t-eJVzNYDI14Y0sZJX9Ao9OHqwwexl,827327986352,t-mA1mYOwfDt_xXDgKNMp5MktAftsp,,,1745536412503,1745539158233,,,,0
gateTURBO,gate,TURBO_USDT,13893.7,gate,closed,0,sell->buy,2,2.4,60.020784,0.00432,62.4243941,0.004493,2.4,827314631356,t-OLV6TPYjRZYmL496_SQdd_3SDs2P,827328551487,t-5XBZCUQkwyybvlcvUebn6QAMea2A,,,1745536469470,1745539083448,,,,0
gatePOPCAT,gate,POPCAT_USDT,165.36,gate,closed,0,sell->buy,2,2.4,60.02568,0.363,62.4234,0.3775,2.4,827324123872,t-m2dc_x1XScEH9SrWpB5KSoJjJANf,827333375942,t-nphqLtuzaADJkyjCum0nZYvKUBmM,,,1745536944562,1745539033165,,,,0
gatePOPCAT,gate,POPCAT_USDT,82.68,gate,closed,0,sell->buy,1,0.6,30.021108,0.3631,30.624672,0.3704,0.6,827324544349,t-LaPMzYacta5tQTni9hkmXtqZ9q9J,827326784715,t-oD1XAFtPXDfS8Guxa2omy3D8fghz,,,1745536286033,1745539032445,,,,0
gatePOPCAT,gate,POPCAT_USDT,80.97,gate,closed,0,sell->buy,1,0.6,30.023676,0.3708,30.622854,0.3782,0.6,827326850676,t-t8s3kD2rwtc6wnMDrQTf2cE7irT7,827333396142,t-ASSUrBt4iz11O73izMmAJcJTGQ2M,,,1745536958098,1745538404866,,,,0
gateTURBO,gate,TURBO_USDT,6795.0,gate,closed,0,sell->buy,1,0.6,30.013515,0.004417,30.611475,0.004505,0.6,827328042637,t-YV331ckbwQpGhI0G8VYMbjB8fE_G,827339983798,t-gY8CAtxt9gwZehdTNrbRkUfMYZX4,,,1745537715133,1745538227052,,,,0
gateTURBO,gate,TURBO_USDT,13562.4,gate,closed,0,sell->buy,2,2.4,60.0271824,0.004426,62.4277272,0.004603,2.4,827328605684,t-YCml1HuB7vsuEnfD9N1Uo6ZVIAzq,827356243367,t-FLj8PqQV2p8OONrYQGITh5BTFmKf,,,1745539790293,1745556159298,,,,0
gatePOPCAT,gate,POPCAT_USDT,80.93,gate,closed,0,buy->sell,1,0.6,29.369497,0.3629,29.968379,0.3703,0.6,827330988695,t-kG8Nm9I4O5bKDhiI4jVBPI121JIl,827350499378,t-EWK2sve2unbJ3Pe55Y0a3MwB4Zu4,,,1745539038815,1745541693148,,,,0
